,name,start_id,end_id,highway,crime_count,light_count,component
0,Stonewall-Panoramic Trail,35718720,2790624066,track,0,,0
1,Stonewall-Panoramic Trail,2790624066,2535392487,track,0,,0
2,Stonewall-Panoramic Trail,2535392487,2790624087,track,0,,0
3,Stonewall-Panoramic Trail,2790624087,33947072,track,0,,0
4,Stonewall-Panoramic Trail,33947072,2532688215,track,0,,0
5,Stonewall-Panoramic Trail,2532688215,33947074,track,0,,0
6,Stonewall-Panoramic Trail,33947074,2532688201,track,0,,0
7,Stonewall-Panoramic Trail,2532688201,33947087,track,0,,0
8,Stonewall-Panoramic Trail,33947087,2535392491,track,0,,0
9,Stonewall-Panoramic Trail,2535392491,2535392494,track,0,,0
10,Stonewall-Panoramic Trail,2535392494,33947096,track,0,,0
11,Stonewall-Panoramic Trail,33947096,2535392499,track,0,,0
12,Stonewall-Panoramic Trail,2535392499,33947107,track,0,,0
13,Panoramic Way,35719198,2532680554,residential,0,,0
14,Panoramic Way,2532680554,2532680555,residential,0,,0
15,Panoramic Way,2532680555,34351177,residential,0,,0
16,Panoramic Way,34351177,760724524,residential,0,,0
17,Panoramic Way,760724524,2535398800,residential,0,,0
18,Panoramic Way,2535398800,2535398805,residential,0,,0
19,Panoramic Way,2535398805,2535398807,residential,0,,0
20,Panoramic Way,2535398807,35719245,residential,0,,0
21,,33947272,33947287,path,0,,0
22,,33947287,33947297,path,0,,0
23,,33947287,33947317,path,0,,0
24,,33947317,33947319,path,0,,0
25,,33947319,33947335,path,0,,0
26,,33947335,33947258,path,0,,0
27,,33947233,775884703,track,0,,0
28,,775884703,5342164955,track,0,,0
29,,5342164955,33947361,track,0,,0
30,,33947361,33947363,track,0,,0
31,,33947363,33947365,track,0,,0
32,,33947365,33947369,track,0,,0
33,,33947369,33947370,track,0,,0
34,,33947190,33947459,path,0,,0
35,,33947459,33947477,path,0,,0
36,,33947416,33947530,path,0,,0
37,,7967384715,33947524,path,0,,0
38,,33947524,2532680482,path,0,,0
39,,2532680482,842998428,path,0,,0
40,,842998428,2539109135,path,0,,0
41,,2539109135,34485301,path,0,,0
42,,34485301,34485304,path,0,,0
43,,34485304,7967384719,path,0,,0
44,,33947244,33947347,path,0,,0
45,,33947335,33947340,path,0,,0
46,,33947340,33947345,path,0,,0
47,,34351114,2532680550,path,0,,0
48,Clark Kerr Trail,34351137,7285716668,path,0,,0
49,Clark Kerr Trail,7285716668,7285716669,path,0,,0
50,Clark Kerr Trail,7285716669,34351141,path,0,,0
51,Clark Kerr Trail,34351141,34351144,path,0,,0
52,Clark Kerr Trail,34351144,34351148,path,0,,0
53,Clark Kerr Trail,34351148,34351151,path,0,,0
54,Clark Kerr Trail,34351151,2532688222,path,0,,0
55,Clark Kerr Trail,2532688222,2532688223,path,0,,0
56,Clark Kerr Trail,2532688223,34351155,path,0,,0
57,Clark Kerr Trail,34351155,2532688224,path,0,,0
58,Clark Kerr Trail,2532688224,2532688225,path,0,,0
59,Clark Kerr Trail,2532688225,2532688228,path,0,,0
60,Clark Kerr Trail,2532688228,2532688229,path,0,,0
61,Clark Kerr Trail,2532688229,2532680498,path,0,,0
62,Clark Kerr Trail,2532680498,2532688233,path,0,,0
63,Clark Kerr Trail,2532688233,34351349,path,0,,0
64,Dwight Way,35719182,35719187,residential,1,,0
65,Dwight Way,35719187,775883165,residential,1,,0
66,Dwight Way,775883165,35719190,residential,0,,0
67,Dwight Way,35719190,775882838,residential,0,,0
68,Dwight Way,775882838,35719193,residential,0,,0
69,Dwight Way,35719193,34351349,residential,0,,0
70,Dwight Way,34351349,35719198,residential,0,,0
71,,34351184,2532688167,path,0,,0
72,,2532688167,34351221,path,0,,0
73,,34351221,760724557,path,0,,0
74,,760724557,34351228,path,0,,0
75,,34351228,34351204,path,0,,0
76,Panoramic Place,35719242,34351361,residential,0,,0
77,Panoramic Place,34351361,34351364,residential,0,,0
78,Panoramic Place,34351364,35719245,residential,0,,0
79,,34351364,34351369,path,0,,0
80,,34351369,34351371,path,0,,0
81,,34351369,34351312,path,0,,0
82,,35719242,34351354,track,0,,0
83,,34351354,34351336,track,0,,0
84,,33947423,34351343,path,0,,0
85,Eloi's Way,34485314,2539109148,service,1,,0
86,Eloi's Way,2539109148,2539109144,service,0,,0
87,Eloi's Way,2539109144,1419660733,service,0,,0
88,,2443796077,34485331,steps,0,,0
89,,34485331,34485332,path,0,,0
90,,34485332,34485333,path,0,,0
91,,34485333,34485334,path,0,,0
92,,34485334,34485335,path,0,,0
93,,34485335,33947074,path,0,,0
94,Upper Jordan Fire Trail,35719039,4728624104,track,0,,0
95,Upper Jordan Fire Trail,4728624104,7564692805,track,0,,0
96,Upper Jordan Fire Trail,7564692805,760715306,track,0,,0
97,Upper Jordan Fire Trail,760715306,760715305,track,0,,0
98,Upper Jordan Fire Trail,760715305,843011023,track,0,,0
99,Upper Jordan Fire Trail,843011023,92042000,track,0,,0
100,Upper Jordan Fire Trail,92042000,843011019,track,0,,0
101,Upper Jordan Fire Trail,843011019,92041991,track,0,,0
102,Upper Jordan Fire Trail,92041991,92041975,track,0,,0
103,Upper Jordan Fire Trail,92041975,92041967,track,0,,0
104,Upper Jordan Fire Trail,92041967,92041953,track,0,,0
105,Upper Jordan Fire Trail,92041953,760717091,track,0,,0
106,Upper Jordan Fire Trail,760717091,92041942,track,0,,0
107,Upper Jordan Fire Trail,92041942,92041931,track,0,,0
